Time,X-coordinate,Y-coordinate
7.299999999999999822e-01,6.786781694751173877e-01,9.384844083797577730e-01
7.399999999999999911e-01,7.593321272763583485e-01,8.704882844153610799e-01
7.500000000000000000e-01,7.984488298680798568e-01,8.084474327806561167e-01
7.600000000000000089e-01,7.912966265677209288e-01,7.591495428059668038e-01
7.700000000000000178e-01,7.267956179228156621e-01,7.359253901817831567e-01
7.800000000000000266e-01,6.197554460735419379e-01,8.104316359272475401e-01
7.900000000000000355e-01,3.806146027249401875e-01,9.457180635388079404e-01
8.000000000000000444e-01,3.030781077443704952e-01,1.423037583170632558e+00
8.100000000000000533e-01,-4.186081702061039689e-02,1.999899091646605731e+00
8.200000000000000622e-01,-6.370165794257524050e-01,2.296800141674165463e+00
8.300000000000000711e-01,-1.306598544704610898e+00,2.285427468463599343e+00
8.399999999999999689e-01,-1.938198513251136124e+00,2.033944425169052828e+00
8.499999999999999778e-01,-2.463352054278735714e+00,1.613981149848679797e+00
8.599999999999999867e-01,-2.789659868499954953e+00,1.076827294943827340e+00
8.699999999999999956e-01,-2.933428719483784253e+00,5.442235728431338293e-01
8.800000000000000044e-01,-2.058946058885076535e+00,-8.623664210486514659e-02
8.900000000000000133e-01,3.009085724845081966e-01,-1.596954654742201996e+00
9.000000000000000222e-01,2.565770774739497995e+00,-1.544873102453134806e+00
9.100000000000000311e-01,1.874582304822072887e+00,-3.973085877041537817e-01
9.200000000000000400e-01,3.624617495917338283e-01,-1.123718412918190301e+00
9.300000000000000488e-01,-2.590272249993345044e-01,-2.321687942633821500e+00
9.400000000000000577e-01,-6.063188816804633285e-01,-2.864719416170272481e+00
9.500000000000000666e-01,-1.015620937270711233e+00,-2.756917125571510585e+00
9.599999999999999645e-01,-1.574002661794562830e+00,-2.311245560252504383e+00
9.699999999999999734e-01,-2.055318613217211876e+00,-1.790917335222487417e+00
9.799999999999999822e-01,-2.388844871724574936e+00,-1.272105621710967860e+00
9.899999999999999911e-01,-2.580225673990282242e+00,-7.977181297531593662e-01
1.000000000000000000e+00,-2.663009243588045472e+00,-3.905485157087861259e-01
1.010000000000000009e+00,-2.671824115861962223e+00,-5.701843585556765071e-02
1.020000000000000018e+00,-2.632891322521745625e+00,2.065177491213694427e-01
1.030000000000000027e+00,-2.563089159775032044e+00,4.082982569902822156e-01
1.040000000000000036e+00,-2.471717066773101656e+00,5.578718864964257174e-01
1.050000000000000044e+00,-2.362574522349379702e+00,6.645309167986520604e-01
1.060000000000000053e+00,-2.235649561559569509e+00,7.367452674242925825e-01
1.070000000000000062e+00,-2.088316005961859734e+00,7.821051820441867752e-01
1.080000000000000071e+00,-1.916113260729390699e+00,8.075096194869892940e-01
1.090000000000000080e+00,-1.713212302307823398e+00,8.195058730347134501e-01
1.100000000000000089e+00,-1.472668905161983899e+00,8.248334245765400752e-01
1.110000000000000098e+00,-1.186595898030833540e+00,8.314756327296149996e-01
1.120000000000000107e+00,-8.466296329096636430e-01,8.513763458548424534e-01
1.130000000000000115e+00,-4.471360928493894882e-01,9.111770109367740567e-01
1.140000000000000124e+00,-8.719662834437225118e-02,1.208263944725604944e+00
1.150000000000000133e+00,2.091865394632275166e-01,1.611539248851590500e+00
1.159999999999999920e+00,5.030546686806820489e-01,1.916449842511201318e+00
1.169999999999999929e+00,8.303322122299134911e-01,2.097448919887320073e+00
1.179999999999999938e+00,1.193741770843301575e+00,2.160588701458932448e+00
1.189999999999999947e+00,1.580926141438174337e+00,2.118258897494290860e+00
1.199999999999999956e+00,1.976782342730095232e+00,1.982144510448172525e+00
1.209999999999999964e+00,2.363342570275523968e+00,1.755230615126711413e+00
1.219999999999999973e+00,2.611281384763554314e+00,1.367972579640855724e+00
1.229999999999999982e+00,2.868838232713259551e+00,8.666535548260601018e-01
1.239999999999999991e+00,-8.513550623825627550e-01,1.516906450556853692e+00
1.250000000000000000e+00,-1.692203928592845408e+00,2.537668257988882070e-01
1.260000000000000009e+00,-7.682060825528341796e-01,-1.856236883923952696e+00
1.270000000000000018e+00,2.366956172915410939e+00,8.756592002536400798e-01
1.280000000000000027e+00,-6.344856350787220212e-02,-1.519080422403626063e+00
1.290000000000000036e+00,-3.953850371156009125e-01,-2.178854007304093177e+00
1.300000000000000044e+00,-3.428636757267812807e-01,-9.465891039568172793e-01
1.310000000000000053e+00,-1.508923505562591583e+00,-8.679534086372597823e-02
1.320000000000000062e+00,3.653434083773365870e-02,2.293460598416239726e+00
1.330000000000000071e+00,-9.047117707899227090e-01,1.914678332375757019e+00
1.340000000000000080e+00,-2.150216869648630347e+00,-6.843496674900662047e-01
1.350000000000000089e+00,-2.911546567976832645e-01,2.557555974542043309e+00
1.360000000000000098e+00,1.397194768445376045e+00,1.471999935680098126e+00
1.370000000000000107e+00,-1.533248518509861658e+00,-3.635424710218949640e-01
1.380000000000000115e+00,1.217132538403495667e+00,1.478347113040742844e+00
1.390000000000000124e+00,-2.629746462726608724e-01,2.069216857236305884e+00
1.400000000000000133e+00,-2.267969875995207829e+00,-1.894513684601216053e+00
1.409999999999999920e+00,2.070215768891766839e+00,-2.110336478050757858e+00
1.419999999999999929e+00,2.530422469195903190e+00,1.608991933520825146e+00
1.429999999999999938e+00,-1.652077843396624113e+00,-1.473848889429103526e+00
1.439999999999999947e+00,-2.518228827407297477e+00,-7.271930394285610610e-01
1.449999999999999956e+00,1.079785122532242791e+00,-4.823021299178129606e-01
1.459999999999999964e+00,2.162331058922703608e+00,1.207964323797906303e+00
1.469999999999999973e+00,-1.302443067055948367e+00,7.240973581937640846e-01
1.479999999999999982e+00,-2.519739641753704351e+00,-8.636172843091625140e-01
1.489999999999999991e+00,-8.019681438853797362e-01,5.974850366462226559e-01
1.500000000000000000e+00,-2.738994764251412306e+00,-6.047840102320294342e-01
1.510000000000000009e+00,1.301383355100644290e-01,-2.880016883009952178e+00
1.520000000000000018e+00,-1.452248510770421053e+00,2.475946885462967817e+00
1.530000000000000027e+00,-5.496962732378329886e-02,1.012332286910743839e+00
1.540000000000000036e+00,-1.298382500203334011e+00,5.912879232839853838e-01
1.550000000000000044e+00,-1.177176985557956579e+00,-4.864872224206540086e-02
1.560000000000000053e+00,-1.388082416045060885e+00,8.018940253544873942e-01
1.570000000000000062e+00,-4.308601961265036140e-01,1.518273368018865144e+00
1.580000000000000071e+00,7.626638726202700225e-01,2.504015997413941097e+00
1.590000000000000080e+00,-8.003434205107438082e-01,2.816412366641140252e+00
1.600000000000000089e+00,-1.398967587735081564e+00,5.693890426189277543e-01
1.610000000000000098e+00,-1.065850991745971754e+00,1.238601220833534189e+00
1.620000000000000107e+00,-1.875782325687084029e+00,2.205632664143605037e+00
1.630000000000000115e+00,-2.396245901233106324e+00,1.769055852451867139e+00
1.640000000000000124e+00,4.403160962418120050e-01,-2.898921229885925488e+00
1.650000000000000133e+00,2.501943990087733827e-01,1.315954600725466772e+00
1.660000000000000142e+00,2.088607007975207264e-02,1.499951972742562090e+00
1.669999999999999929e+00,-3.928000766464708748e-01,1.064484403425036474e+00
1.679999999999999938e+00,-7.164675248686103171e-01,2.808536122313468830e+00
1.689999999999999947e+00,7.736639905609604684e-01,6.346174479005790570e-01
1.699999999999999956e+00,5.011370490760130858e-01,1.040438689687057883e+00
1.709999999999999964e+00,1.844924489256005273e+00,7.328816371079041048e-01
1.719999999999999973e+00,-1.541426855771986348e+00,-1.231592510359974746e+00
1.729999999999999982e+00,-2.121754776283561572e+00,2.120870076419096861e+00
1.739999999999999991e+00,-2.737327800589737237e-01,-2.691649695839346546e+00
1.750000000000000000e+00,1.666218710890068122e+00,2.378711823169719519e+00
1.760000000000000009e+00,2.480382134594919297e+00,1.089837122043491036e+00
1.770000000000000018e+00,9.360906015401293523e-03,-1.218056258250900470e+00
1.780000000000000027e+00,1.418338728467883225e+00,-6.670801326308026802e-01
1.790000000000000036e+00,-1.499972682942391833e+00,2.593538086264602249e+00
1.800000000000000044e+00,-1.538031543140800705e+00,1.215641274510807834e+00
1.810000000000000053e+00,-1.014565113052964040e+00,-7.794288575970050870e-01
1.820000000000000062e+00,1.376235188892270256e-01,-2.965160061998111107e+00
1.830000000000000071e+00,1.096112774087762531e+00,-2.789382905204672802e+00
1.840000000000000080e+00,5.990509120620268746e-01,-1.792339533289441178e+00
1.850000000000000089e+00,1.872054154344126697e+00,7.791528939209617644e-01
1.860000000000000098e+00,1.879864351110941856e+00,-3.017113270492794985e-01
1.870000000000000107e+00,5.766544124858238307e-01,1.686000700018785547e+00
1.880000000000000115e+00,1.912564040173512003e+00,-9.912029561600491645e-01
1.890000000000000124e+00,2.085834139104511653e+00,-3.450410435678585852e-02
1.900000000000000133e+00,2.820730004592042484e-01,-2.008461793632228432e+00
1.910000000000000142e+00,1.203961670263897332e+00,-2.691385421818533352e+00
1.919999999999999929e+00,1.252705846519660549e-01,-1.171469114495844677e+00
1.929999999999999938e+00,-1.794542908417355864e+00,1.383513219594148413e+00
1.939999999999999947e+00,-1.304775904274652509e+00,2.500619829625903012e+00
1.949999999999999956e+00,8.638417959670225965e-01,5.046265795086292139e-01
1.959999999999999964e+00,-1.139609632780358650e+00,1.180663968044903811e-02
1.969999999999999973e+00,1.644975992433864498e+00,1.296360115161732107e-02
1.979999999999999982e+00,2.752049256320129533e+00,-6.824557747658287488e-01
1.989999999999999991e+00,-2.443551616739267907e+00,1.500339541718955783e+00
2.000000000000000000e+00,-1.687515920606907915e+00,1.273876842102053208e+00
2.010000000000000231e+00,1.100006279413910271e+00,-1.208250042786851997e-01
2.020000000000000018e+00,2.084476638735539122e+00,-1.630787789480638628e+00
2.030000000000000249e+00,2.924109510616881291e+00,6.746912248179015581e-02
2.040000000000000036e+00,-1.032919267827809628e+00,1.419048517057009962e+00
2.049999999999999822e+00,3.243720447193170209e-01,-1.988127196652315298e+00
2.060000000000000053e+00,1.156483953985961044e+00,1.486340922961309374e+00
2.069999999999999840e+00,5.765757624999292563e-01,-9.441023770047719532e-01
2.080000000000000071e+00,2.527794352136275013e-01,2.807295518286590408e+00
2.089999999999999858e+00,-1.601558812912251106e+00,2.253872585552869179e+00
2.100000000000000089e+00,-3.032602684601448662e-02,1.005469067595106125e+00
2.109999999999999876e+00,2.244116112654708672e+00,-1.213311918792545629e-01
2.120000000000000107e+00,3.224392922082094937e-02,-1.014186400637478780e+00
